group_id,post_id,comment_id,text,likes
33654179,2916291,2916296,Девушка повела себя не как Сасенка а как должна вести себя фанатка о чем говорят эти люди? А Джемин очень заботливый,56
33654179,2916286,2916292,"Очень жаль девочек 
Одни сидели в подвале и ждали редебют группы,а другие пришли из другой группы и редебютировали в этом «агентстве»
Просто трата времени талантливых девочек",62
33654179,2916282,2916408,🔥🔥🔥,1
33654179,2916275,2916283,Одумойся куда тебя несёт,19
33654179,2916275,2916360,Соболезную,4
33654179,2916270,2916285,Тэсон наконец-то 🤧,7
33654179,2916270,2916271,какая прекрасная новость ❤️,2
33654179,2916270,2916290,"Мальчики все очень нравятся. Желаю им всевозможных успехов ✊

Надеюсь, что в этот раз у Тэсона всё обязательно получится 🤧",1
33654179,2916270,2916454,НАКОНЕЦ-ТО ТЭСОН 🗣🗣🗣🗣,0
182032975,1093559,1093564,"Это ужасная катастрофа, унесшая жизни 179 человек…просто страшно представить что они чувствовали в последний момент. Самолеты считаются одним из самых безопасных видов транспорта но никогда не знаешь что может случиться не так. Соболезнования 🕊️",27
182032975,1093559,1093565,Прям под новый год. Для скольких семей ужасная трагедия.,14
182032975,1093559,1093566,"Меня ужаснул коментарий под другим постом про карму. ^Год кармы^. Трагедии никогда нельзя предугадать, это невозможно учитывая разные обстоятельства. И списывать все на карму просто низко.",6
182032975,1093559,1093569,"40 минут ехали пожарные на тушение самолета!!! 40 минут!!!
Я вспоминаю сразу паром Севоль, когда все службы, вместо помощи утопающим, ждали отмашки от начальства, чиновников и президента. Тех детей, которых спасли, вытаскивали обычные рыбаки и ныряльщицы за моллюсками. 

В Казахстане менее 10 минут прошло, а уже все были на месте: обычные люди, пожарная, скорая, мчс… благодаря им столько человек выжило ✨",6
182032975,1093559,1093563,если бы не какая-то стена….,4
182032975,1093513,1093517,"Она во всех шикарно выглядит,невозможно даже выбрать",40
182032975,1093513,1093548,"вонён все платья к лицу, но честно говоря... я не могу выкинуть из головы этот её образ в виде балерины из музыкальной шкатулки... так красиво...",15
182032975,1093513,1093542,1 абсолютно легендарно! Я тогда сохранила все возможные фотографии с этим образом,11
182032975,1093513,1093516,1 и 3,6
182032975,1093513,1093551,Мне безумно нравятся эти платья на ней,5
